Plot,TreeID,Species,Year,DBH,GapYears,PrevDBH,GrowthRate,GrowthType
Lower,104,Sugar Maple,2015,6.15,,,,initial
Lower,104,Sugar Maple,2016,6.3,1.0,6.15,0.024390243902438935,normal
Lower,104,Sugar Maple,2017,6.3,1.0,6.3,0.0,normal
Lower,104,Sugar Maple,2018,6.5,1.0,6.3,0.03174603174603177,normal
Lower,104,Sugar Maple,2021,6.5,3.0,6.5,0.0,annualized
Lower,104,Sugar Maple,2022,6.7,1.0,6.5,0.030769230769230795,normal
Lower,104,Sugar Maple,2023,6.44,1.0,6.7,-0.0388059701492537,normal
Lower,104,Sugar Maple,2024,6.91,1.0,6.44,0.07298136645962729,normal
Lower,104,Sugar Maple,2025,6.8,1.0,6.91,-0.015918958031837963,normal
Lower,105,Sugar maple,2015,1.9,,,,initial
Lower,105,Sugar maple,2016,1.44,1.0,1.9,-0.24210526315789474,normal
Lower,105,Sugar maple,2017,1.56,1.0,1.44,0.08333333333333341,normal
Lower,105,Sugar maple,2018,1.5,1.0,1.56,-0.03846153846153849,normal
Lower,105,Sugar maple,2021,1.5,3.0,1.5,0.0,annualized
Lower,105,Sugar maple,2022,1.5,1.0,1.5,0.0,normal
Lower,105,Sugar maple,2023,1.55,1.0,1.5,0.03333333333333336,normal
Lower,105,Sugar maple,2024,1.52,1.0,1.55,-0.019354838709677438,normal
Lower,105,Sugar maple,2025,1.5,1.0,1.52,-0.013157894736842117,normal
Lower,106,beech,2015,2.1,,,,initial
Lower,106,beech,2016,2.5,1.0,2.1,0.19047619047619044,normal
Lower,106,beech,2017,2.3,1.0,2.5,-0.08000000000000007,normal
Lower,106,beech,2018,2.3,1.0,2.3,0.0,normal
Lower,106,beech,2021,2.6,3.0,2.3,0.04347826086956526,annualized
Lower,106,beech,2022,2.48,1.0,2.6,-0.04615384615384619,normal
Lower,106,beech,2023,2.7,1.0,2.48,0.08870967741935491,normal
Lower,106,beech,2024,2.69,1.0,2.7,-0.003703703703703789,normal
Lower,106,beech,2025,1.5,1.0,2.69,-0.4423791821561338,normal
Lower,108,black birch ,2015,2.8,,,,initial
Lower,108,black birch ,2016,2.9,1.0,2.8,0.03571428571428575,normal
Lower,108,black birch ,2017,2.9,1.0,2.9,0.0,normal
Lower,108,black birch ,2018,2.9,1.0,2.9,0.0,normal
Lower,108,black birch ,2021,3.2,3.0,2.9,0.03448275862068969,annualized
Lower,108,black birch ,2022,3.16,1.0,3.2,-0.012500000000000011,normal
Lower,108,black birch ,2023,3.25,1.0,3.16,0.028481012658227802,normal
Lower,108,black birch ,2024,3.24,1.0,3.25,-0.0030769230769230114,normal
Lower,108,black birch ,2025,3.25,1.0,3.24,0.0030864197530863537,normal
Lower,109,Black Birch ,2015,2.2,,,,initial
Lower,109,Black Birch ,2016,2.2,1.0,2.2,0.0,normal
Lower,109,Black Birch ,2017,2.3,1.0,2.2,0.04545454545454529,normal
Lower,109,Black Birch ,2018,2.31,1.0,2.3,0.004347826086956622,normal
Lower,109,Black Birch ,2021,2.5,3.0,2.31,0.02741702741702741,annualized
Lower,109,Black Birch ,2022,2.6,1.0,2.5,0.040000000000000036,normal
Lower,109,Black Birch ,2023,0.8,1.0,2.6,-0.6923076923076923,normal
Lower,109,Black Birch ,2024,2.64,1.0,0.8,2.3,normal
Lower,109,Black Birch ,2025,2.69,1.0,2.64,0.01893939393939387,normal
Lower,110,red oak,2015,25.6,,,,initial
Lower,110,red oak,2016,26.1,1.0,25.6,0.01953125,normal
Lower,110,red oak,2017,26.63,1.0,26.1,0.02030651340996159,normal
Lower,110,red oak,2018,26.13,1.0,26.63,-0.01877581674802854,normal
Lower,110,red oak,2021,27.0,3.0,26.13,0.011098354381936484,annualized
Lower,110,red oak,2022,27.25,1.0,27.0,0.009259259259259259,normal
Lower,110,red oak,2023,27.0,1.0,27.25,-0.009174311926605505,normal
Lower,110,red oak,2024,27.18,1.0,27.0,0.006666666666666656,normal
Lower,110,red oak,2025,25.61,1.0,27.18,-0.05776306107431936,normal
Lower,112,sugar maple,2015,2.63,,,,initial
Lower,112,sugar maple,2016,2.75,1.0,2.63,0.045627376425855556,normal
Lower,112,sugar maple,2017,2.75,1.0,2.75,0.0,normal
Lower,112,sugar maple,2018,2.75,1.0,2.75,0.0,normal
Lower,112,sugar maple,2021,2.9,3.0,2.75,0.01818181818181817,annualized
Lower,112,sugar maple,2022,3.0,1.0,2.9,0.03448275862068969,normal
Lower,112,sugar maple,2023,1.5,1.0,3.0,-0.5,normal
Lower,112,sugar maple,2024,2.98,1.0,1.5,0.9866666666666667,normal
Lower,112,sugar maple,2025,3.06,1.0,2.98,0.02684563758389264,normal
Lower,113,sugar maple,2015,3.1,,,,initial
Lower,113,sugar maple,2016,3.13,1.0,3.1,0.009677419354838646,normal
Lower,113,sugar maple,2017,3.19,1.0,3.13,0.019169329073482445,normal
Lower,113,sugar maple,2018,3.2,1.0,3.19,0.0031347962382445864,normal
Lower,113,sugar maple,2021,3.4,3.0,3.2,0.0208333333333333,annualized
Lower,113,sugar maple,2022,3.5,1.0,3.4,0.02941176470588238,normal
Lower,113,sugar maple,2023,3.25,1.0,3.5,-0.07142857142857142,normal
Lower,113,sugar maple,2024,3.63,1.0,3.25,0.1169230769230769,normal
Lower,113,sugar maple,2025,3.7,1.0,3.63,0.01928374655647391,normal
Lower,115,black birch,2015,2.2,,,,initial
Lower,115,black birch,2016,2.06,1.0,2.2,-0.06363636363636369,normal
Lower,115,black birch,2017,2.19,1.0,2.06,0.0631067961165048,normal
Lower,115,black birch,2018,2.19,1.0,2.19,0.0,normal
Lower,115,black birch,2021,2.4,3.0,2.19,0.031963470319634694,annualized
Lower,115,black birch,2022,2.28,1.0,2.4,-0.050000000000000044,normal
Lower,115,black birch,2023,2.75,1.0,2.28,0.2061403508771931,normal
Lower,115,black birch,2024,2.59,1.0,2.75,-0.05818181818181823,normal
Lower,115,black birch,2025,2.7,1.0,2.59,0.042471042471042594,normal
Lower,116,White Pine ,2015,16.38,,,,initial
Lower,116,White Pine ,2016,15.75,1.0,16.38,-0.0384615384615384,normal
Lower,116,White Pine ,2017,15.46,1.0,15.75,-0.01841269841269836,normal
Lower,116,White Pine ,2018,15.6,1.0,15.46,0.00905562742561441,normal
Lower,116,White Pine ,2021,16.2,3.0,15.6,0.012820512820512813,annualized
Lower,116,White Pine ,2022,16.45,1.0,16.2,0.0154320987654321,normal
Lower,116,White Pine ,2023,16.0,1.0,16.45,-0.02735562310030391,normal
Lower,116,White Pine ,2024,16.35,1.0,16.0,0.02187500000000009,normal
Lower,116,White Pine ,2025,16.5,1.0,16.35,0.009174311926605417,normal
Lower,117,red oak,2015,27.56,,,,initial
Lower,117,red oak,2016,27.31,1.0,27.56,-0.009071117561683599,normal
